time,user_name,user_color,message
82,duckyplayz6996,#DAA520,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer Kappa Kappa vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer vedalEvilCheer"
82,telep4th0s,#5F9EA0,"NU"
82,aphlachad,#008000,"Hello"
82,hostygamerthenoob,#D2691E,"neuroOnline"
82,niochacz4,#00FF7F,"Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM  ͏"
82,critical_20,#FF0000,"NU"
82,castiel498,,"neuroOnline"
82,just_a_nobody96,#DAA520,"neuroOnline"
82,pinkeop,#00FF7F,"AlienDance same 5 songs AlienDance"
83,silver417,#DAA520,"silver417 subscribed at Tier 1. They've subscribed for 11 months! vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU"
83,sharkman_w,#FF0000,"nu"
83,cafegaffe,#9ACD32,"vedalWave vedalWave"
83,vincentdante,#8A2BE2,"nu"
84,lukical,#FF0000,"nwero nu"
84,ce_totya,,"Finally im on stream"
84,temmie4lifeyt,#5F9EA0,"neuroOnline"
84,itsralphhh,#1E90FF,"nu"
84,dermayer1,#FF69B4,"vedalCheer vedalCheer vedalCheer"
84,phatnapkin,#FF4500,"first"
84,yukimecoq,#1E90FF,"nu"
85,49vr,#1E90FF,"yeaaaahahahahhahahah"
85,norerrr1,#FF7F50,"neuroOnline"
85,shocker_alex,,"nwero nu"
85,nam3less01,,"NU"
85,housetoy02,#0000FF,"Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM Shiza EDM  ͏"
85,flowers_n_smiles,#008000,"skyjerDANCE skyjerDANCE skyjerDANCE skyjerDANCE"
86,odra_truco,#FF4500,"vedalEvil vedalPray"
86,demonic_clown24,#8A2BE2,"Pog nu"
87,lazy_racer,#1E90FF,"neuroOnline"
87,jahymwm,#0000FF,"Nu"
87,synonym_toast_crunch,#DAA520,"juh"
87,ryuujou514,#FF7F50,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer"
87,zybit1,#1E90FF,"nu"
88,dragonmasterk,#000000,"neuroOnline"
88,shioris_gymbag,#E1A520,"nwero nu"
89,theindecisiveone_,,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer"
89,trym3b1tch,#2E8B57,"vedalNURU vedalNURU vedalNURU vedalNURU vedalNURU"
89,snow_arashi,#1E90FF,"NU"
89,noonpanda,#1E90FF,"Dance  same 1 intro song"
89,sc0rp10n_pt,#FF4500,"bajiHype bajiHype bajiHype bajiHype"
90,johnstevon,,"vedalCheer vedalCheer vedalCheer vedalCheer"
90,questwalkerko,#FF0000,"nu"
90,jairus,#5F9EA0,"FlowerCatJAM"
90,greathiago,#1E90FF,"nu"
91,hamlee24,#FF0000,"Shiza"
91,acube_xd,#FF69B4,"Acube_xd subscribed at Tier 1. They've subscribed for 9 months! "
91,福寧萌 (alexlturing),,"nu"
